Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Innocence,0.681,0.752,2,-10.28,1,0.028,0.016,2.14E-05,0.222,0.891,125.495,Classic Rock
Starman - Single Mix,0.307,0.429,5,-11.054,1,0.0333,0.211,0,0.391,0.582,199.787,Classic Rock
Wish You Were Here,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,Classic Rock
Separate Ways (Worlds Apart),0.451,0.962,0,-3.947,1,0.0734,0.0188,3.17E-06,0.277,0.377,131.435,Classic Rock
The Boys Are Back In Town,0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,Classic Rock
Shine On Me,0.404,0.492,8,-9.669,0,0.0284,0.0295,0.311,0.129,0.23,129.969,Classic Rock
Rock You Like a Hurricane - 2011,0.584,0.833,11,-5.824,1,0.0358,0.000265,0.00595,0.32,0.671,124.018,Classic Rock
Join Me - Razorblade Mix,0.637,0.673,8,-6.966,0,0.0297,0.0164,2.35E-05,0.115,0.588,113.795,Classic Rock
Doesn't Really Matter - Remastered,0.662,0.854,1,-2.934,0,0.0509,0.0416,0.000886,0.757,0.723,144.737,Classic Rock
Breaking the Law,0.362,0.959,2,-5.653,1,0.0882,0.0249,7.88E-06,0.0694,0.506,164.013,Classic Rock
The Joker,0.596,0.448,5,-9.616,1,0.0396,0.365,5.30E-06,0.206,0.796,83.293,Classic Rock
Kodachrome,0.592,0.705,1,-10.276,0,0.0287,0.0291,1.97E-05,0.0456,0.902,135.754,Classic Rock
Band On The Run - 2010 Remaster,0.479,0.601,7,-8.806,1,0.0318,0.0832,0.00142,0.11,0.669,124.966,Classic Rock
Old Time Rock & Roll,0.714,0.937,6,-2.947,1,0.0399,0.206,0,0.0731,0.964,124.13,Classic Rock
Turn! Turn! Turn! (To Everything There Is a Season),0.449,0.811,2,-8.17,1,0.0458,0.117,2.28E-05,0.0393,0.736,124.594,Classic Rock
Hard To Handle,0.605,0.796,4,-3.618,1,0.0421,0.00286,0.000541,0.279,0.961,103.671,Classic Rock
Because the Night,0.442,0.793,11,-5.378,0,0.0354,0.0557,0,0.0934,0.547,123.67,Classic Rock
Black Betty,0.465,0.907,11,-6.404,0,0.113,0.0241,0.00118,0.13,0.681,117.293,Classic Rock
Turn Me Loose,0.588,0.641,5,-12.205,1,0.0312,0.0841,0.000663,0.303,0.548,119.374,Classic Rock
Born to Run,0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05E-05,0.116,0.606,146.347,Classic Rock
Oye Como Va,0.736,0.379,7,-13.208,1,0.0539,0.301,0.345,0.104,0.948,128.399,Classic Rock
Sharp Dressed Man - 2008 Remaster,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,Classic Rock
Poison,0.28,0.908,2,-5.509,0,0.109,0.0327,8.85E-06,0.18,0.26,118.698,Classic Rock
Last Nite,0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,Classic Rock
Dead Leaves and the Dirty Ground,0.281,0.515,9,-7.406,0,0.0317,0.46,1.72E-06,0.0896,0.525,79.299,Classic Rock
Money,0.468,0.536,11,-10.422,0,0.144,0.024,0.00199,0.269,0.785,126.256,Classic Rock
Runnin' With The Devil,0.432,0.88,1,-5.769,0,0.0656,0.0206,0.000191,0.185,0.527,95.59,Classic Rock
I Wouldn't Want to Be Like You,0.69,0.647,5,-8.319,0,0.0484,0.507,9.50E-06,0.118,0.3,100.745,Classic Rock
Cherry Pie,0.472,0.946,2,-4.591,1,0.145,0.0372,0,0.352,0.486,177.489,Classic Rock
Mary Had a Little Lamb,0.678,0.493,8,-13.782,1,0.0302,0.0882,0.153,0.264,0.914,122.627,Classic Rock
Living After Midnight,0.61,0.824,4,-6.046,1,0.0534,0.0136,1.75E-06,0.0606,0.819,134.992,Classic Rock
Stairway to Heaven - 1990 Remaster,0.346,0.335,7,-12.453,1,0.0339,0.575,0.00674,0.185,0.213,84.204,Classic Rock
They Say I'm Different,0.537,0.791,6,-7.051,1,0.145,0.122,3.03E-05,0.205,0.889,142.354,Funk Rock
Tobacco Road,0.754,0.771,9,-7.452,0,0.291,0.336,0.00028,0.1,0.811,88.105,Funk Rock
Always On The Run,0.512,0.946,9,-3.756,1,0.148,0.0119,0.0191,0.0646,0.85,169.222,Funk Rock
Summer Romance (Anti-Gravity Love Song),0.667,0.721,7,-7.17,1,0.0329,0.00915,0.0137,0.105,0.567,110.094,Funk Rock
Suck My Kiss,0.623,0.936,0,-9.955,1,0.0528,0.000617,9.86E-05,0.269,0.705,101.514,Funk Rock
Who Knows - Live At The Fillmore East,0.571,0.631,11,-10.352,1,0.0399,0.0147,0.751,0.204,0.713,84.71,Funk Rock
Bombtrack,0.478,0.855,4,-7.438,0,0.121,0.0134,3.18E-05,0.179,0.668,151.93,Funk Rock
Violent & Funky,0.477,0.899,2,-6.06,1,0.122,0.000241,0.000147,0.0598,0.555,104.821,Funk Rock
Cannibals,0.626,0.827,2,-5.144,1,0.0387,0.00158,2.90E-06,0.0475,0.84,139.997,Funk Rock
Soap On A Rope,0.394,0.912,2,-4.277,1,0.0978,0.000878,0.000647,0.128,0.418,88.375,Funk Rock
Renegades Of Funk,0.651,0.908,2,-4.019,1,0.0577,0.00184,0.000579,0.384,0.769,123.851,Funk Rock
My Name Is Mud,0.703,0.918,11,-3.476,0,0.0743,0.00856,0.176,0.117,0.455,98.388,Funk Rock
Tones Of Home,0.556,0.808,0,-6.965,1,0.0335,0.166,0.000167,0.164,0.844,115.287,Funk Rock
Midlife Crisis,0.669,0.656,9,-10.549,1,0.0413,0.00113,0.000252,0.0989,0.464,108.098,Funk Rock
Roller - Remastered,0.451,0.973,9,-3.615,1,0.1,0.0019,0.122,0.0893,0.652,140.642,Funk Rock
Oh Well,0.589,0.912,9,-7.123,1,0.0781,0.232,0.0497,0.0739,0.667,93.207,Funk Rock
Stink,0.582,0.941,11,-5.177,0,0.0796,0.000282,2.38E-06,0.202,0.842,125.001,Funk Rock
"Greenwood, Mississippi",0.727,0.611,7,-14.611,0,0.0372,0.125,2.98E-05,0.0541,0.951,127.357,Funk Rock
Hot Wheels,0.532,0.906,9,-5.382,1,0.039,0.000686,0.876,0.381,0.26,96.681,Funk Rock
Bad Reputation,0.396,0.8,1,-12.787,1,0.0534,0.0044,0.231,0.241,0.825,124.408,Funk Rock
Black Betty - Edit,0.562,0.865,7,-6.476,0,0.0922,2.06E-05,0.591,0.219,0.35,124.047,Funk Rock
The Bottle,0.381,0.539,7,-6.761,1,0.0375,2.50E-05,0.723,0.125,0.499,127.424,Funk Rock
Broke Down,0.386,0.875,0,-6.823,1,0.101,0.00445,0.00175,0.24,0.792,75.896,Funk Rock
"Oh Well (Pt. 1) - Live 1979, St. Louis, MO",0.325,0.552,9,-15.711,1,0.0657,0.429,0.0207,0.758,0.343,99.806,Funk Rock
The Partys Over,0.664,0.955,9,-5.818,1,0.064,0.00653,0.0261,0.0986,0.547,136.039,Funk Rock
Rollin' (Air Raid Vehicle),0.604,0.931,9,-3.326,1,0.175,0.00516,0,0.271,0.682,96.249,Funk Rock
Stranglehold,0.491,0.738,2,-7.04,1,0.0335,0.0152,0.168,0.2,0.51,148.003,Funk Rock
Goin' Out West,0.722,0.54,8,-13.929,1,0.0951,0.772,0.313,0.142,0.586,129.139,Funk Rock
Bad Penny,0.22,0.747,0,-7.311,1,0.0641,0.000904,0.000522,0.0467,0.692,198.376,Funk Rock
Boogie - Remastered,0.343,0.806,5,-6.101,1,0.0597,0.000192,0.216,0.165,0.492,145.382,Funk Rock
Rock Bottom - 2007 Remaster,0.256,0.863,5,-6.582,1,0.106,3.48E-05,0.00405,0.364,0.521,158.947,Funk Rock
Silver Bird - Remastered,0.363,0.778,9,-8.785,0,0.069,0.0122,0.543,0.167,0.521,153.233,Funk Rock
Inside Looking Out - Remastered,0.435,0.797,0,-7.741,1,0.0563,0.0298,0.0346,0.043,0.711,98.83,Funk Rock
Bulls On Parade,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,Funk Rock
Sad But True,0.633,0.846,7,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,Funk Rock
Thunder Kiss '65,0.684,0.859,9,-9.772,1,0.0401,0.000587,0.00285,0.467,0.517,112.663,Funk Rock
Aqualung,0.477,0.479,7,-11.887,0,0.0483,0.0649,0.029,0.0906,0.662,122.531,Funk Rock
Let's Work Together,0.748,0.708,0,-11.937,1,0.0383,0.134,0,0.0647,0.864,118.934,Funk Rock
Voodoo Child (Slight Return),0.356,0.905,8,-6.652,1,0.309,0.502,0.0137,0.0561,0.438,87.57,Funk Rock
Fortunate Son,0.643,0.669,0,-7.485,1,0.0398,0.208,0.00664,0.151,0.609,132.709,Funk Rock
"Crossroads - Live At Winterland, San Francisco / 1968",0.393,0.697,7,-12.808,1,0.0558,0.389,0.0195,0.865,0.851,131.625,Funk Rock
Paranoid,0.429,0.631,4,-11.514,0,0.0769,7.85E-05,0.00411,0.175,0.376,162.734,Funk Rock
The Beautiful People,0.621,0.834,10,-10.068,0,0.0557,0.000779,0.456,0.0611,0.937,143.973,Funk Rock
The Trooper - 1998 Remastered Version,0.286,0.856,4,-6.777,0,0.0585,0.0238,0.0542,0.487,0.696,162.12,Funk Rock
More Human Than Human,0.674,0.907,1,-6.706,1,0.0714,0.000386,0.608,0.104,0.576,101.449,Funk Rock
Gimme Shelter,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,Funk Rock
La Grange - 2005 Remaster,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,Funk Rock
Woman To Woman,0.714,0.331,1,-14.443,1,0.0983,0.186,0.0889,0.0725,0.747,180.647,Funk Rock
Going Down - Remastered,0.555,0.669,9,-7.46,0,0.0311,0.0459,0.000521,0.105,0.691,167.652,Funk Rock
I'm Going Home - Live at Woodstock,0.383,0.9,2,-9.782,1,0.223,0.31,0.00357,0.945,0.385,119.232,Funk Rock
All Along the Watchtower,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69E-05,0.0842,0.564,113.253,Funk Rock
Good Morning Little Schoolgirl - Live,0.384,0.603,11,-12.202,0,0.0306,0.0306,0.477,0.941,0.776,139.248,Funk Rock
Rude Mood,0.478,0.961,10,-12.465,0,0.0506,0.114,0.859,0.161,0.768,131.096,Funk Rock
Freedom,0.518,0.9,5,-5.249,0,0.0481,0.0208,0.00454,0.136,0.707,112.217,Funk Rock
Rock Me Baby,0.286,0.83,4,-6.801,0,0.106,0.557,0.0433,0.133,0.686,190.288,Funk Rock
I'm Not Awake Yet,0.473,0.627,7,-11.541,0,0.0414,0.167,0.022,0.108,0.713,102.301,Funk Rock
The Wizard,0.523,0.706,2,-11.521,1,0.0935,0.0307,0.000274,0.337,0.407,99.684,Funk Rock
Do You Read Me,0.721,0.531,0,-10.809,1,0.0348,0.138,0.059,0.209,0.967,98.625,Funk Rock
Highway Tune,0.581,0.957,4,-2.989,1,0.0549,0.0114,0.157,0.271,0.517,123.972,Funk Rock
Safari Song,0.376,0.925,2,-3.986,1,0.049,0.181,5.25E-06,0.3,0.702,175.903,Funk Rock
Perfect Strangers,0.521,0.721,2,-7.699,1,0.0254,0.00348,0.0113,0.391,0.611,97.578,Funk Rock
The Pusher,0.467,0.381,0,-13.808,1,0.0264,0.235,0.123,0.187,0.697,81.754,Funk Rock
Space Truckin' - Remastered 2012,0.62,0.878,9,-9.064,1,0.0443,0.0264,0.776,0.235,0.708,129.236,Funk Rock
Silent Killer,0.591,0.867,2,-3.427,1,0.0482,0.000576,6.50E-06,0.332,0.472,105.941,Funk Rock
Cry For The Bad Man,0.62,0.688,7,-9.09,1,0.0539,0.044,0.0097,0.112,0.832,122.986,Funk Rock
Saturday Night Special,0.563,0.561,9,-11.259,1,0.0537,0.0151,0.000203,0.13,0.599,121.174,Funk Rock
Highway Tune,0.582,0.962,4,-3.037,1,0.0542,0.0096,0.128,0.283,0.506,123.971,Funk Rock
Hell Hooks,0.644,0.669,2,-12.861,1,0.0458,0.0124,0.000308,0.269,0.424,101.936,Funk Rock
Thick N' Thin,0.567,0.953,0,-4.942,1,0.0615,0.000291,0.00153,0.351,0.764,98.355,Funk Rock
Hard To Handle,0.591,0.79,4,-3.597,1,0.0432,0.00224,0.000886,0.292,0.961,104.171,Funk Rock
Cat Scratch Fever,0.549,0.916,4,-4.185,0,0.034,0.0049,0.123,0.104,0.632,127.131,Funk Rock
A Million Miles Away,0.498,0.654,2,-10.398,0,0.0381,0.00829,0.00595,0.417,0.608,135.805,Funk Rock
Hoochie Coochie Man,0.24,0.557,2,-12.906,1,0.0532,0.0986,0.15,0.153,0.533,172.573,Funk Rock
Fairies Wear Boots,0.497,0.625,5,-11.38,1,0.0376,0.00114,0.0421,0.253,0.727,136.126,Funk Rock
Fred Bear - The Original,0.41,0.931,9,-3.889,0,0.0933,0.15,0.00254,0.0327,0.4,158.17,Funk Rock
Just Got Paid,0.466,0.871,9,-5.882,1,0.122,0.372,0.329,0.262,0.357,96.502,Funk Rock
Freelance Fiend,0.288,0.569,2,-9.839,1,0.0731,5.66E-05,0.138,0.186,0.608,164.585,Funk Rock
Freelance Fiend - Digitally Remastered Version,0.257,0.818,2,-4.904,1,0.0909,0.00531,0.000242,0.33,0.741,165.154,Funk Rock
250 Miles,0.467,0.422,9,-11.077,0,0.0703,0.238,0.169,0.096,0.588,76.818,Funk Rock
Plastic Hamburgers,0.634,0.779,9,-6.607,1,0.0361,0.0255,0.00103,0.342,0.562,82.003,Funk Rock
Messin' With The Kid - Live From Cork City Hall,0.336,0.814,9,-9.352,1,0.103,0.00592,0.0924,0.73,0.74,161.821,Funk Rock
Wicked As It Seems,0.689,0.62,7,-10.601,1,0.0337,0.286,1.70E-06,0.0368,0.962,110.859,Funk Rock
Satisfaction,0.573,0.855,4,-5.316,0,0.0296,0.000657,0.000232,0.101,0.2,100.174,Funk Rock
Maggot Brain,0.301,0.353,4,-15.588,0,0.0467,0.778,0.489,0.406,0.189,134.588,Funk Rock
Radar Love,0.504,0.719,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.144,Funk Rock
Clawstrophobia,0.269,0.534,6,-12.043,0,0.0424,0.244,0.131,0.323,0.423,81.421,Funk Rock
Long Cool Woman (In a Black Dress) - 1999 Remaster,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,Funk Rock
The Ballroom Blitz,0.626,0.775,11,-10.343,0,0.0653,0.00222,0.00053,0.0448,0.847,108.74,Funk Rock
Black Magic Woman,0.552,0.443,9,-9.113,0,0.0453,0.0563,0.000173,0.0864,0.543,129.888,Funk Rock
I Came 2 Rock and Roll,0.645,0.694,4,-7.359,0,0.0382,0.0231,0.00236,0.164,0.549,134.083,Funk Rock
Yuve Yuve Yu,0.624,0.857,10,-6.25,0,0.0542,0.0208,0.206,0.11,0.324,131.926,Funk Rock
Psychotic Reaction - Rarities Version,0.355,0.761,11,-6.309,1,0.0978,0.000288,0.0141,0.189,0.685,165.209,Funk Rock
If 6 Was 9,0.39,0.648,8,-9.789,1,0.137,0.00428,0.0531,0.689,0.493,103.496,Funk Rock
Yuve Yuve Yu (feat. From Ashes to New),0.552,0.971,10,-4.756,0,0.0646,0.0101,0.00563,0.164,0.523,132.009,Funk Rock
Zero Funks Given,0.8,0.654,5,-7.783,0,0.0725,0.0431,0.139,0.0766,0.798,89.998,Funk Rock
Suffocation Blues,0.282,0.843,11,-6.002,0,0.114,0.000839,3.02E-05,0.0699,0.418,175.798,Funk Rock
Shoog Shoog,0.71,0.619,1,-8.833,1,0.034,0.0125,0.685,0.642,0.763,125.006,Funk Rock
American Woman,0.55,0.726,2,-8.51,1,0.0516,0.146,0.00608,0.428,0.37,92.697,Funk Rock
Baba O'Riley,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,Funk Rock
Can't You Hear Me Knocking - 2009 Mix,0.545,0.757,0,-5.228,1,0.0396,0.408,0.045,0.16,0.714,152.217,Funk Rock
In Zaire,0.616,0.526,7,-17.446,1,0.0466,0.0034,0.0685,0.13,0.484,102.883,Funk Rock
Du hast,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105,Funk Rock
Radar Gun,0.702,0.634,11,-10.113,1,0.0726,0.381,0.016,0.31,0.636,156.631,Funk Rock
Peace Sells - 2004 Remaster,0.303,0.922,11,-4.376,0,0.138,0.000676,0.26,0.561,0.695,138.393,Funk Rock
The Millionaire,0.612,0.583,3,-12.303,1,0.205,0.358,0,0.189,0.599,88.87,Funk Rock
Misirlou,0.293,0.932,4,-6.839,1,0.051,0.0136,0.906,0.289,0.657,173.262,Funk Rock
Wolf Totem,0.557,0.718,8,-8.504,1,0.0415,0.0888,0.0511,0.661,0.49,172.039,Funk Rock
(If You Want the Smoke) Be the Fire,0.38,0.691,1,-7.79,0,0.0335,0.00156,0.000889,0.104,0.514,83.772,Funk Rock
Strange Colour Blue,0.584,0.512,9,-7.993,0,0.0353,0.537,0.0293,0.112,0.217,127.81,Funk Rock
They Say I'm Different,0.537,0.791,6,-7.051,1,0.145,0.122,3.03E-05,0.205,0.889,142.354,Metal
Tobacco Road,0.754,0.771,9,-7.452,0,0.291,0.336,0.00028,0.1,0.811,88.105,Metal
Always On The Run,0.512,0.946,9,-3.756,1,0.148,0.0119,0.0191,0.0646,0.85,169.222,Metal
Summer Romance (Anti-Gravity Love Song),0.667,0.721,7,-7.17,1,0.0329,0.00915,0.0137,0.105,0.567,110.094,Metal
Suck My Kiss,0.623,0.936,0,-9.955,1,0.0528,0.000617,9.86E-05,0.269,0.705,101.514,Metal
Who Knows - Live At The Fillmore East,0.571,0.631,11,-10.352,1,0.0399,0.0147,0.751,0.204,0.713,84.71,Metal
Bombtrack,0.478,0.855,4,-7.438,0,0.121,0.0134,3.18E-05,0.179,0.668,151.93,Metal
Violent & Funky,0.477,0.899,2,-6.06,1,0.122,0.000241,0.000147,0.0598,0.555,104.821,Metal
Cannibals,0.626,0.827,2,-5.144,1,0.0387,0.00158,2.90E-06,0.0475,0.84,139.997,Metal
Soap On A Rope,0.394,0.912,2,-4.277,1,0.0978,0.000878,0.000647,0.128,0.418,88.375,Metal
Renegades Of Funk,0.651,0.908,2,-4.019,1,0.0577,0.00184,0.000579,0.384,0.769,123.851,Metal
My Name Is Mud,0.703,0.918,11,-3.476,0,0.0743,0.00856,0.176,0.117,0.455,98.388,Metal
Tones Of Home,0.556,0.808,0,-6.965,1,0.0335,0.166,0.000167,0.164,0.844,115.287,Metal
Midlife Crisis,0.669,0.656,9,-10.549,1,0.0413,0.00113,0.000252,0.0989,0.464,108.098,Metal
Roller - Remastered,0.451,0.973,9,-3.615,1,0.1,0.0019,0.122,0.0893,0.652,140.642,Metal
Oh Well,0.589,0.912,9,-7.123,1,0.0781,0.232,0.0497,0.0739,0.667,93.207,Metal
Stink,0.582,0.941,11,-5.177,0,0.0796,0.000282,2.38E-06,0.202,0.842,125.001,Metal
"Greenwood, Mississippi",0.727,0.611,7,-14.611,0,0.0372,0.125,2.98E-05,0.0541,0.951,127.357,Metal
Hot Wheels,0.532,0.906,9,-5.382,1,0.039,0.000686,0.876,0.381,0.26,96.681,Metal
Bad Reputation,0.396,0.8,1,-12.787,1,0.0534,0.0044,0.231,0.241,0.825,124.408,Metal
Black Betty - Edit,0.562,0.865,7,-6.476,0,0.0922,2.06E-05,0.591,0.219,0.35,124.047,Metal
The Bottle,0.381,0.539,7,-6.761,1,0.0375,2.50E-05,0.723,0.125,0.499,127.424,Metal
Broke Down,0.386,0.875,0,-6.823,1,0.101,0.00445,0.00175,0.24,0.792,75.896,Metal
"Oh Well (Pt. 1) - Live 1979, St. Louis, MO",0.325,0.552,9,-15.711,1,0.0657,0.429,0.0207,0.758,0.343,99.806,Metal
The Partys Over,0.664,0.955,9,-5.818,1,0.064,0.00653,0.0261,0.0986,0.547,136.039,Metal
Rollin' (Air Raid Vehicle),0.604,0.931,9,-3.326,1,0.175,0.00516,0,0.271,0.682,96.249,Metal
Stranglehold,0.491,0.738,2,-7.04,1,0.0335,0.0152,0.168,0.2,0.51,148.003,Metal
Goin' Out West,0.722,0.54,8,-13.929,1,0.0951,0.772,0.313,0.142,0.586,129.139,Metal
Bad Penny,0.22,0.747,0,-7.311,1,0.0641,0.000904,0.000522,0.0467,0.692,198.376,Metal
Boogie - Remastered,0.343,0.806,5,-6.101,1,0.0597,0.000192,0.216,0.165,0.492,145.382,Metal
Rock Bottom - 2007 Remaster,0.256,0.863,5,-6.582,1,0.106,3.48E-05,0.00405,0.364,0.521,158.947,Metal
Silver Bird - Remastered,0.363,0.778,9,-8.785,0,0.069,0.0122,0.543,0.167,0.521,153.233,Metal
Inside Looking Out - Remastered,0.435,0.797,0,-7.741,1,0.0563,0.0298,0.0346,0.043,0.711,98.83,Metal
Bulls On Parade,0.412,0.919,5,-7.291,1,0.184,0.0124,0.0601,0.424,0.572,166.367,Metal
Sad But True,0.633,0.846,7,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,Metal
Thunder Kiss '65,0.684,0.859,9,-9.772,1,0.0401,0.000587,0.00285,0.467,0.517,112.663,Metal
Aqualung,0.477,0.479,7,-11.887,0,0.0483,0.0649,0.029,0.0906,0.662,122.531,Metal
Let's Work Together,0.748,0.708,0,-11.937,1,0.0383,0.134,0,0.0647,0.864,118.934,Metal
Voodoo Child (Slight Return),0.356,0.905,8,-6.652,1,0.309,0.502,0.0137,0.0561,0.438,87.57,Metal
Fortunate Son,0.643,0.669,0,-7.485,1,0.0398,0.208,0.00664,0.151,0.609,132.709,Metal
"Crossroads - Live At Winterland, San Francisco / 1968",0.393,0.697,7,-12.808,1,0.0558,0.389,0.0195,0.865,0.851,131.625,Metal
Paranoid,0.429,0.631,4,-11.514,0,0.0769,7.85E-05,0.00411,0.175,0.376,162.734,Metal
The Beautiful People,0.621,0.834,10,-10.068,0,0.0557,0.000779,0.456,0.0611,0.937,143.973,Metal
